Closed Time,Created Time,Department,Ticket Id,Due by Time,First Response Time (in Hrs),First Response Status,Group,Impact,Priority,Requester Email,Resolution Status,Resolution Time (in Hrs),Agent,Type,Urgency
2022-01-04 17:34:49,2022-01-04 07:59:47,Information Technology Services,85447,2022-01-05 17:00:00,00:00:00,,NT - General,Medium,High,2101,Within SLA,09:00:00,7107,Incident,High
2022-02-16 11:35:15,2022-01-04 08:12:52,Student Life,85448,2022-01-10 08:12:52,00:00:00,,SD - FT - Employee Hardware Support,Low,High,2309,SLA Violated,263:56:32,7274,Incident,Low
2022-04-06 12:35:24,2022-01-04 08:12:54,Student Life,85449,2022-01-12 08:00:00,09:34:20,Within SLA,NT - General,Medium,Low,2309,SLA Violated,579:28:46,3588,Incident,Low
2022-01-06 09:35:04,2022-01-04 08:12:54,Student Life,85450,2023-06-01 08:34:04,00:00:00,,AD - General,Low,Low,2309,Within SLA,10:01:20,8674,Incident,Low
2022-01-15 12:35:18,2022-01-04 08:17:10,Center for Wholeness and Wellness,85451,2022-01-04 16:17:10,09:16:19,SLA Violated,NT - General,Medium,Urgent,5507,SLA Violated,56:24:50,7107,Incident,Low
2022-01-08 09:35:01,2022-01-04 08:17:11,Center for Wholeness and Wellness,85453,2022-01-20 16:07:00,00:00:00,,SD - FT - Employee Lifecycle,Low,Low,5507,Within SLA,27:53:30,7107,Incident,Low
2022-01-07 12:35:00,2022-01-04 08:40:42,Pioneer Food Service,85454,2022-01-21 13:08:00,02:18:34,Within SLA,SD - FT - Employee Lifecycle,Low,Low,5908,Within SLA,17:27:15,7107,Incident,Low
2022-01-11 14:34:39,2022-01-04 08:42:27,Conference Services,85455,2022-01-14 09:09:38,00:00:00,,SD - FT - Employee Mobile Devices ,Low,Medium,9479,Within SLA,41:25:56,7107,Incident,Low
2022-01-13 20:34:55,2022-01-04 09:01:28,Registrar,85456,2022-01-24 09:19:00,04:34:59,Within SLA,SD - LS - Emergencies,Low,Medium,5548,Within SLA,16:41:32,7107,Incident,Low
2022-01-12 14:18:20,2022-01-04 09:34:59,Institutional Research and Effectiveness,85457,2022-01-13 09:35:18,00:01:41,Within SLA,SD - FT - Employee Mobile Devices ,Low,Medium,6236,Within SLA,58:43:21,7107,Incident,Low
2022-01-05 11:34:32,2022-01-04 09:50:29,Admissions,85458,2022-01-21 10:30:32,00:26:50,Within SLA,SD - FT - Card System (Transact),Low,Low,8812,Within SLA,01:04:14,7107,Incident,Low
2022-01-04 10:30:14,2022-01-04 10:30:11,,85459,2022-02-16 10:30:14,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:03,3588,Incident,Low
2022-02-15 15:52:26,2022-01-04 10:49:38,School of Communication Arts,85460,2022-01-10 10:49:38,00:16:30,Within SLA,SD - FT - Employee Mobile Devices ,Low,High,7760,SLA Violated,266:02:48,7107,Incident,Low
2022-01-07 12:35:05,2022-01-04 10:57:43,Pioneer Food Service,85461,2022-01-07 13:55:01,06:40:11,SLA Violated,NT - General,Medium,Urgent,5908,Within SLA,06:40:12,7107,Incident,Low
2022-01-06 10:35:23,2022-01-04 10:57:44,Pioneer Food Service,85462,2022-01-21 11:53:22,00:00:00,,SD - FT - Employee Lifecycle,Low,Low,5908,Within SLA,07:42:41,7107,Incident,Low
2022-01-04 11:07:47,2022-01-04 10:57:47,Pioneer Food Service,85463,2023-05-31 16:50:00,00:53:00,Within SLA,AD - General,Low,Low,5908,Within SLA,00:10:00,8674,Incident,Low
2022-01-31 14:34:44,2022-01-04 11:28:16,Human Resources,85464,2022-02-17 11:41:44,155:32:06,SLA Violated,NT - General,Medium,Low,4050,Within SLA,155:53:37,3588,Incident,Low
2022-01-04 13:29:52,2022-01-04 11:32:48,Residence Life,85465,2022-01-20 11:32:49,00:01:56,Within SLA,SD - FT - Employee Mobile Devices ,Low,Low,3021,Within SLA,01:57:04,7107,Incident,Low
2022-01-05 14:40:08,2022-01-04 11:43:39,Residence Life,85466,2022-01-21 13:32:45,00:04:22,Within SLA,SD - FT - Employee Mobile Devices ,Low,Low,7275,Within SLA,01:07:27,7107,Incident,Low
2022-01-06 16:35:09,2022-01-04 11:46:12,"Safety, Security, and Switchboard",85467,2022-01-24 09:05:09,06:09:04,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,5662,Within SLA,07:30:38,7107,Incident,Low
2022-01-06 09:35:05,2022-01-04 11:50:55,Admissions,85468,2022-01-21 12:29:05,06:05:39,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,8812,Within SLA,06:06:16,7107,Incident,Low
2022-01-04 11:56:20,2022-01-04 11:51:57,Information Technology Services,85469,2022-01-20 11:52:21,00:00:00,,SD - FT - Employee Software Support,Low,Low,3761,Within SLA,00:04:23,7274,Incident,Low
2022-01-06 09:35:06,2022-01-04 11:53:26,Controller's Office,85470,2022-01-21 12:32:06,06:03:09,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,8714,Within SLA,06:03:46,7107,Incident,Low
2022-01-19 09:35:09,2022-01-04 11:53:37,Center for Academic Excellence,85471,2022-01-10 11:53:37,05:54:21,Within SLA,SD - FT - Employee Hardware Support,Low,High,7523,SLA Violated,87:10:16,7107,Incident,Low
2022-01-06 09:35:07,2022-01-04 11:54:05,President's Office,85472,2022-01-21 12:32:07,06:02:31,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,2704,Within SLA,06:03:08,7107,Incident,Low
2022-01-04 11:55:18,2022-01-04 11:54:12,Information Technology Services,85473,2022-01-20 11:54:20,00:00:00,,SD - FT - Employee Software Support,Low,Low,3761,Within SLA,00:01:06,7274,Incident,Low
2022-01-06 09:35:09,2022-01-04 11:58:39,Admissions,85474,2022-01-21 12:37:08,05:57:58,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,2181,Within SLA,05:58:34,7107,Incident,Low
2022-01-06 09:35:10,2022-01-04 12:07:32,Christian Studies and Philosophy,85475,2022-01-21 12:46:10,05:49:06,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,2116,Within SLA,05:49:42,7107,Incident,Low
2022-01-04 12:30:12,2022-01-04 12:30:10,,85476,2022-02-16 12:30:12,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:02,3588,Incident,Low
2022-01-06 09:35:11,2022-01-04 13:17:59,"Safety, Security, and Switchboard",85477,2022-01-21 13:56:11,04:38:39,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,2276,Within SLA,04:39:15,7107,Incident,Low
2022-01-04 13:31:03,2022-01-04 13:29:16,Information Technology Services,85478,2022-01-20 13:30:05,00:00:00,,SD - FT - Employee Software Support,Low,Low,3761,Within SLA,00:01:47,7274,Incident,Low
2022-01-06 09:35:13,2022-01-04 13:30:56,Dayton School of Business,85479,2022-01-21 14:09:12,04:25:44,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,1070,Within SLA,04:26:19,7107,Incident,Low
2022-01-06 09:35:14,2022-01-04 13:33:58,Dayton School of Business,85480,2022-01-21 14:12:14,04:22:43,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,3149,Within SLA,04:23:17,7107,Incident,Low
2022-01-04 14:30:21,2022-01-04 14:20:52,Information Technology Services,85481,2022-01-20 14:21:22,00:00:00,,SD - FT - Employee Software Support,Low,Low,3761,Within SLA,00:09:29,7274,Incident,Low
2022-01-04 14:31:04,2022-01-04 14:23:21,Information Technology Services,85482,2022-01-20 14:24:05,00:00:00,,SD - FT - Employee Software Support,Low,Low,3761,Within SLA,00:07:43,7274,Incident,Low
2022-01-04 14:37:54,2022-01-04 14:30:43,Information Technology Services,85483,2022-01-20 14:30:55,00:00:00,,SD - FT - Employee Software Support,Low,Low,3761,Within SLA,00:07:11,7274,Incident,Low
2022-01-04 15:26:02,2022-01-04 14:31:35,,85484,2022-01-20 14:31:35,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,3884,Within SLA,00:54:27,7107,Incident,Low
2022-08-12 10:35:02,2022-01-04 14:33:44,Christian Studies and Philosophy,85485,2023-06-08 15:18:00,00:03:42,Within SLA,ID - General Support,Low,Low,5459,Within SLA,1372:17:42,8035,Incident,Low
2022-01-04 14:50:11,2022-01-04 14:50:10,,85486,2022-02-16 14:50:11,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:01,3588,Incident,Low
2022-01-08 14:35:02,2022-01-04 15:00:10,Information Technology Services,85487,2022-02-17 08:53:00,00:44:50,Within SLA,NT - General,Medium,Low,2232,Within SLA,26:07:13,3588,Incident,Low
2022-01-11 17:34:27,2022-01-04 15:06:25,Science and Health,85488,2022-01-21 15:22:00,10:29:35,Within SLA,SD - FT - Employee Software Support,Low,Low,8286,Within SLA,37:38:43,7274,Incident,Low
2022-01-06 11:35:22,2022-01-04 15:13:08,Pioneer Food Service,85489,2022-01-21 15:37:21,03:34:14,Within SLA,SD - FT - Employee Lifecycle,Low,Low,5908,Within SLA,04:58:14,7107,Incident,Low
2022-02-03 09:35:08,2022-01-04 15:17:45,,85490,2022-01-13 15:17:45,36:25:49,SLA Violated,SD - FT - Student Escalation,Low,Medium,3884,SLA Violated,173:22:27,7107,Incident,Low
2022-01-14 09:35:19,2022-01-04 15:19:31,Residence Life,85491,2023-06-07 15:51:19,37:26:43,Within SLA,AD - CampusVue,Low,Low,3307,Within SLA,56:44:02,2741,Incident,Low
2022-02-09 12:35:10,2022-01-04 15:29:54,Center for Academic Excellence,85492,2022-01-21 15:30:00,125:32:49,SLA Violated,NT - General,Medium,Low,8062,SLA Violated,212:42:42,2168,Incident,Low
2022-01-14 12:35:21,2022-01-04 15:41:29,Information Technology Services,85493,2022-02-17 16:02:20,00:15:25,Within SLA,NT - General,Medium,Low,8390,Within SLA,59:33:12,3588,Incident,Low
2022-01-08 16:35:00,2022-01-04 15:51:24,Information Technology Services,85494,2022-01-12 15:44:00,00:00:00,,SD - FT - Employee Lifecycle,Low,High,3761,Within SLA,10:16:20,7107,Incident,Low
2022-01-05 16:34:42,2022-01-04 15:52:03,Human Resources,85495,2022-01-21 16:00:42,00:00:00,,SD - FT - Refunds and E-Texts,Low,Low,4050,Within SLA,00:34:10,7107,Incident,Low
2022-01-04 16:47:41,2022-01-04 16:14:00,,85496,2022-01-20 16:14:00,00:33:18,Within SLA,System Inbox (Waiting to be Assigned),Low,Low,1921,Within SLA,00:33:41,7107,Incident,Low
2022-01-21 08:35:16,2022-01-04 16:23:10,,85497,2023-06-07 15:49:00,96:11:03,Within SLA,ID - General Support,Low,Low,2489,Within SLA,100:11:58,7107,Incident,Low
2022-01-07 08:35:19,2022-01-04 16:31:10,Center for Wholeness and Wellness,85498,2022-01-21 16:33:19,01:11:27,Within SLA,SD - FT - Employee Hardware Support,Low,Low,6964,Within SLA,10:02:21,7107,Incident,Low
2022-01-13 13:06:25,2022-01-04 16:37:02,Institutional Advancement and Development,85499,2022-01-13 16:37:21,28:13:37,Within SLA,SD - FT - Employee Lifecycle,Medium,Medium,2390,Within SLA,59:29:23,7107,Incident,Low
2022-01-04 17:30:12,2022-01-04 17:30:11,,85500,2022-02-16 17:00:00,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
2022-01-06 09:35:15,2022-01-04 17:35:40,School of Education,85501,2022-01-24 08:38:15,00:56:41,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,7486,Within SLA,00:57:16,7107,Incident,Low
2022-01-08 11:34:40,2022-01-04 17:39:38,Christian Studies and Philosophy,85502,2022-01-25 10:38:00,01:45:46,Within SLA,SD - FT - Employee Lifecycle,Low,Low,2597,Within SLA,06:22:16,7107,Incident,Low
2022-01-06 09:35:19,2022-01-04 17:40:14,Human Resources,85503,2022-01-24 08:41:17,00:00:00,,SD - FT - Refunds and E-Texts,Low,Low,4050,Within SLA,00:54:35,7107,Incident,Low
2022-01-07 10:35:28,2022-01-04 17:52:30,Dayton School of Business,85504,2022-01-24 08:20:27,11:15:25,Within SLA,SD - FT - Employee Software Support,Low,Low,9546,Within SLA,11:15:26,7107,Incident,Low
2022-01-05 08:44:21,2022-01-04 18:57:44,,85505,2022-01-20 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,4784,Within SLA,00:44:21,7107,Incident,Low
2022-01-06 09:35:20,2022-01-04 22:07:51,Dayton School of Business,85506,2022-01-24 08:38:20,00:56:42,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,2979,Within SLA,00:57:16,7107,Incident,Low
2022-01-05 02:11:14,2022-01-05 02:11:13,,85507,2022-01-20 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,9951,Within SLA,00:00:00,7107,Incident,Low
2022-01-05 02:11:15,2022-01-05 02:11:14,,85508,2022-01-20 17:00:00,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,9951,Within SLA,00:00:00,7107,Incident,Low
2022-01-05 06:32:22,2022-01-05 06:32:21,,85509,2022-02-16 17:00:00,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:00,3588,Incident,Low
2022-01-05 17:34:44,2022-01-05 07:59:33,Information Technology Services,85510,2022-01-06 17:00:00,00:00:00,,NT - General,Medium,High,2101,Within SLA,09:00:00,2168,Incident,High
2022-01-06 10:35:24,2022-01-05 08:19:08,Pioneer Food Service,85511,2022-01-24 09:17:24,00:00:00,,SD - FT - Employee Lifecycle,Low,Low,5908,Within SLA,01:18:48,7107,Incident,Low
2022-01-05 09:11:14,2022-01-05 08:19:08,Pioneer Food Service,85512,2023-06-01 16:08:00,00:00:00,,AD - General,Low,Low,5908,Within SLA,00:52:06,8674,Incident,Low
2022-01-06 09:35:21,2022-01-05 08:19:08,Pioneer Food Service,85513,2022-01-17 11:05:56,00:00:00,,NT - General,Medium,Urgent,5908,Within SLA,00:30:40,7107,Incident,Low
2022-01-08 09:35:02,2022-01-05 08:28:52,Information Technology Services,85514,2022-02-21 16:52:00,00:08:18,Within SLA,NT - General,Medium,Low,3761,Within SLA,00:08:18,7107,Incident,Low
2022-01-07 08:35:20,2022-01-05 08:28:52,Information Technology Services,85515,2022-01-24 08:57:20,00:00:00,,SD - FT - Employee Hardware Support,Low,Low,3761,Within SLA,08:38:40,7274,Incident,Low
2022-01-05 09:10:48,2022-01-05 08:28:53,Information Technology Services,85516,2023-06-01 16:19:00,00:00:00,,AD - General,Low,Low,3761,Within SLA,00:41:55,8674,Incident,Low
2022-01-08 09:35:04,2022-01-05 08:32:20,Christian Studies and Philosophy,85517,2022-02-21 16:37:00,00:23:13,Within SLA,NT - General,Medium,Low,2597,Within SLA,00:23:14,7107,Incident,Low
2022-01-06 10:35:25,2022-01-05 08:32:21,Christian Studies and Philosophy,85518,2023-06-08 09:17:25,01:18:06,Within SLA,AD - CampusVue,Low,Low,2597,Within SLA,01:18:22,2741,Incident,Low
2022-01-06 10:35:27,2022-01-05 08:32:21,Christian Studies and Philosophy,85519,2022-01-24 09:19:27,00:00:00,,SD - FT - Employee Lifecycle,Low,Low,2597,Within SLA,01:16:30,7107,Incident,Low
2022-01-21 11:34:54,2022-01-05 08:40:31,Kinlaw Library,85522,2022-02-21 15:25:00,82:35:09,SLA Violated,NT - General,Medium,Low,5905,Within SLA,82:35:10,3588,Incident,Low
2022-01-06 17:35:25,2022-01-05 08:44:56,Registrar,85523,2022-01-24 08:53:00,07:04:34,Within SLA,SD - FT - Employee Software Support,Low,Low,7051,Within SLA,08:07:12,7107,Incident,Low
2022-01-05 09:09:34,2022-01-05 08:52:49,,85524,2023-06-01 16:44:00,00:00:00,,AD - General,Low,Low,2770,Within SLA,00:16:45,8674,Incident,Low
2022-01-05 09:01:16,2022-01-05 08:58:01,Music,85525,2022-01-24 08:58:01,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,2755,Within SLA,00:03:15,7107,Incident,Low
2022-01-05 09:04:54,2022-01-05 08:58:52,,85526,2022-01-24 08:58:53,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,7885,Within SLA,00:06:02,7107,Incident,Low
2022-01-05 09:05:14,2022-01-05 08:59:10,,85527,2022-01-24 08:59:10,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,7885,Within SLA,00:06:03,7107,Incident,Low
2022-01-05 08:59:36,2022-01-05 08:59:36,Center for Wholeness and Wellness,85528,2022-01-21 08:59:37,00:00:00,,SD - FT - Employee Mobile Devices ,Low,Low,6811,Within SLA,00:00:00,7107,Incident,Low
2022-01-12 08:34:41,2022-01-05 09:18:36,,85529,2022-01-17 09:31:41,35:03:45,SLA Violated,SD - DC - Graphic Design,Low,Medium,1074,Within SLA,35:03:45,7107,Service Request,Low
2022-01-12 08:34:42,2022-01-05 09:19:10,,85530,2022-01-17 09:31:42,35:03:30,SLA Violated,SD - DC - Graphic Design,Low,Medium,1074,Within SLA,35:03:30,7107,Service Request,Low
2022-01-06 11:35:23,2022-01-05 09:53:16,,85531,2022-01-24 10:51:23,00:31:05,Within SLA,SD - SS - Student Support,Low,Low,7861,Within SLA,00:44:54,7107,Incident,Low
2022-01-05 10:30:13,2022-01-05 10:30:12,,85532,2022-02-17 10:30:13,00:00:00,,NT - General,Medium,Low,7401,Within SLA,00:00:01,3588,Incident,Low
2022-01-14 14:34:49,2022-01-05 10:46:24,School of Communication Arts,85533,2022-01-17 11:43:48,00:00:00,,SD - FT - Employee Software Support,Low,Medium,7252,Within SLA,56:51:13,7274,Incident,Low
2022-01-10 13:35:14,2022-01-05 10:51:10,Admissions,85534,2022-02-18 11:59:14,19:36:17,Within SLA,NT - General,Medium,Low,2578,Within SLA,19:36:18,3588,Incident,Low
2022-01-10 13:35:15,2022-01-05 11:25:06,Student Life,85535,2022-02-18 12:29:15,19:06:43,Within SLA,NT - General,Medium,Low,2309,Within SLA,19:06:43,3588,Incident,Low
2022-01-06 12:35:00,2022-01-05 11:32:44,School of Education,85536,2022-01-24 12:20:00,00:00:00,,SD - FT - Employee Software Support,Low,Low,5621,Within SLA,00:15:01,7107,Incident,Low
2022-01-06 14:34:44,2022-01-05 11:50:47,,85537,2022-01-24 12:11:44,01:57:28,Within SLA,SD - FT - Refunds and E-Texts,Low,Low,2459,Within SLA,02:23:19,7107,Incident,Low
2022-01-05 12:59:12,2022-01-05 11:58:14,Information Technology Services,85538,2022-01-24 11:59:04,00:00:00,,System Inbox (Waiting to be Assigned),Low,Low,3761,Within SLA,01:00:58,7107,Incident,Low
